0 0           //NULL
1 1           //START OF HEADING
2 2           //START OF TEXT
3 3           //END OF TEXT
4 4           //END OF TRANSMISSION
5 5           //ENQUIRY
6 6           //ACKNOWLEDGE
7 7           //BELL
8 8           //BACKSPACE
9 9           //HORIZONTAL TABULATION
A A           //LINE FEED
B B           //VERTICAL TABULATION
C C           //FORM FEED
D D           //CARRIAGE RETURN
E E           //SHIFT OUT
F F           //SHIFT IN
10 10          //DATA LINK ESCAPE
11 11          //DEVICE CONTROL ONE
12 12          //DEVICE CONTROL TWO
13 13          //DEVICE CONTROL THREE
14 14          //DEVICE CONTROL FOUR
15 15          //NEGATIVE ACKNOWLEDGE
16 16          //SYNCHRONOUS IDLE
17 17          //END OF TRANSMISSION BLOCK
18 18          //CANCEL
19 19          //END OF MEDIUM
1A 1A          //SUBSTITUTE
1B 1B          //ESCAPE
1C 1C          //FILE SEPARATOR
1D 1D          //GROUP SEPARATOR
1E 1E          //RECORD SEPARATOR
1F 1F          //UNIT SEPARATOR
20 20          //SPACE
21 21          //EXCLAMATION MARK
22 22          //QUOTATION MARK
23 23          //NUMBER SIGN
24 24          //DOLLAR SIGN
25 25          //PERCENT SIGN
26 26          //AMPERSAND
27 27          //APOSTROPHE
28 28          //LEFT PARENTHESIS
29 29          //RIGHT PARENTHESIS
2A 2A          //ASTERISK
2B 2B          //PLUS SIGN
2C 2C          //COMMA
2D 2D          //HYPHEN-MINUS
2E 2E          //FULL STOP
2F 2F          //SOLIDUS
30 30          //DIGIT ZERO
31 31          //DIGIT ONE
32 32          //DIGIT TWO
33 33          //DIGIT THREE
34 34          //DIGIT FOUR
35 35          //DIGIT FIVE
36 36          //DIGIT SIX
37 37          //DIGIT SEVEN
38 38          //DIGIT EIGHT
39 39          //DIGIT NINE
3A 3A          //COLON
3B 3B          //SEMICOLON
3C 3C          //LESS-THAN SIGN
3D 3D          //EQUALS SIGN
3E 3E          //GREATER-THAN SIGN
3F 3F          //QUESTION MARK
40 40          //COMMERCIAL AT
41 41          //LATIN CAPITAL LETTER A
42 42          //LATIN CAPITAL LETTER B
43 43          //LATIN CAPITAL LETTER C
44 44          //LATIN CAPITAL LETTER D
45 45          //LATIN CAPITAL LETTER E
46 46          //LATIN CAPITAL LETTER F
47 47          //LATIN CAPITAL LETTER G
48 48          //LATIN CAPITAL LETTER H
49 49          //LATIN CAPITAL LETTER I
4A 4A          //LATIN CAPITAL LETTER J
4B 4B          //LATIN CAPITAL LETTER K
4C 4C          //LATIN CAPITAL LETTER L
4D 4D          //LATIN CAPITAL LETTER M
4E 4E          //LATIN CAPITAL LETTER N
4F 4F          //LATIN CAPITAL LETTER O
50 50          //LATIN CAPITAL LETTER P
51 51          //LATIN CAPITAL LETTER Q
52 52          //LATIN CAPITAL LETTER R
53 53          //LATIN CAPITAL LETTER S
54 54          //LATIN CAPITAL LETTER T
55 55          //LATIN CAPITAL LETTER U
56 56          //LATIN CAPITAL LETTER V
57 57          //LATIN CAPITAL LETTER W
58 58          //LATIN CAPITAL LETTER X
59 59          //LATIN CAPITAL LETTER Y
5A 5A          //LATIN CAPITAL LETTER Z
5B 5B          //LEFT SQUARE BRACKET
5C 5C          //REVERSE SOLIDUS
5D 5D          //RIGHT SQUARE BRACKET
5E 5E          //CIRCUMFLEX ACCENT
5F 5F          //LOW LINE
60 60          //GRAVE ACCENT
61 61          //LATIN SMALL LETTER A
62 62          //LATIN SMALL LETTER B
63 63          //LATIN SMALL LETTER C
64 64          //LATIN SMALL LETTER D
65 65          //LATIN SMALL LETTER E
66 66          //LATIN SMALL LETTER F
67 67          //LATIN SMALL LETTER G
68 68          //LATIN SMALL LETTER H
69 69          //LATIN SMALL LETTER I
6A 6A          //LATIN SMALL LETTER J
6B 6B          //LATIN SMALL LETTER K
6C 6C          //LATIN SMALL LETTER L
6D 6D          //LATIN SMALL LETTER M
6E 6E          //LATIN SMALL LETTER N
6F 6F          //LATIN SMALL LETTER O
70 70          //LATIN SMALL LETTER P
71 71          //LATIN SMALL LETTER Q
72 72          //LATIN SMALL LETTER R
73 73          //LATIN SMALL LETTER S
74 74          //LATIN SMALL LETTER T
75 75          //LATIN SMALL LETTER U
76 76          //LATIN SMALL LETTER V
77 77          //LATIN SMALL LETTER W
78 78          //LATIN SMALL LETTER X
79 79          //LATIN SMALL LETTER Y
7A 7A          //LATIN SMALL LETTER Z
7B 7B          //LEFT CURLY BRACKET
7C 7C          //VERTICAL LINE
7D 7D          //RIGHT CURLY BRACKET
7E 7E          //TILDE
7F 7F          //DELETE
80 C7          //LATIN CAPITAL LETTER C WITH CEDILLA
81 FC          //LATIN SMALL LETTER U WITH DIAERESIS
82 E9          //LATIN SMALL LETTER E WITH ACUTE
83 E2          //LATIN SMALL LETTER A WITH CIRCUMFLEX
84 E4          //LATIN SMALL LETTER A WITH DIAERESIS
85 E0          //LATIN SMALL LETTER A WITH GRAVE
86 E5          //LATIN SMALL LETTER A WITH RING ABOVE
87 E7          //LATIN SMALL LETTER C WITH CEDILLA
88 EA          //LATIN SMALL LETTER E WITH CIRCUMFLEX
89 EB          //LATIN SMALL LETTER E WITH DIAERESIS
8A E8          //LATIN SMALL LETTER E WITH GRAVE
8B EF          //LATIN SMALL LETTER I WITH DIAERESIS
8C EE          //LATIN SMALL LETTER I WITH CIRCUMFLEX
8D EC          //LATIN SMALL LETTER I WITH GRAVE
8E C4          //LATIN CAPITAL LETTER A WITH DIAERESIS
8F C5          //LATIN CAPITAL LETTER A WITH RING ABOVE
90 C9          //LATIN CAPITAL LETTER E WITH ACUTE
91 E6          //LATIN SMALL LIGATURE AE
92 C6          //LATIN CAPITAL LIGATURE AE
93 F4          //LATIN SMALL LETTER O WITH CIRCUMFLEX
94 F6          //LATIN SMALL LETTER O WITH DIAERESIS
95 F2          //LATIN SMALL LETTER O WITH GRAVE
96 FB          //LATIN SMALL LETTER U WITH CIRCUMFLEX
97 F9          //LATIN SMALL LETTER U WITH GRAVE
98 FF          //LATIN SMALL LETTER Y WITH DIAERESIS
99 D6          //LATIN CAPITAL LETTER O WITH DIAERESIS
9A DC          //LATIN CAPITAL LETTER U WITH DIAERESIS
9B A2          //CENT SIGN
9C A3          //POUND SIGN
9D A5          //YEN SIGN
9E 20A7        //PESETA SIGN
9F 192         //LATIN SMALL LETTER F WITH HOOK
A0 E1          //LATIN SMALL LETTER A WITH ACUTE
A1 ED          //LATIN SMALL LETTER I WITH ACUTE
A2 F3          //LATIN SMALL LETTER O WITH ACUTE
A3 FA          //LATIN SMALL LETTER U WITH ACUTE
A4 F1          //LATIN SMALL LETTER N WITH TILDE
A5 D1          //LATIN CAPITAL LETTER N WITH TILDE
A6 AA          //FEMININE ORDINAL INDICATOR
A7 BA          //MASCULINE ORDINAL INDICATOR
A8 BF          //INVERTED QUESTION MARK
A9 2310        //REVERSED NOT SIGN
AA AC          //NOT SIGN
AB BD          //VULGAR FRACTION ONE HALF
AC BC          //VULGAR FRACTION ONE QUARTER
AD A1          //INVERTED EXCLAMATION MARK
AE AB          //LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
AF BB          //RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
B0 2591        //LIGHT SHADE
B1 2592        //MEDIUM SHADE
B2 2593        //DARK SHADE
B3 2502        //BOX DRAWINGS LIGHT VERTICAL
B4 2524        //BOX DRAWINGS LIGHT VERTICAL AND LEFT
B5 2561        //BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
B6 2562        //BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
B7 2556        //BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
B8 2555        //BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
B9 2563        //BOX DRAWINGS DOUBLE VERTICAL AND LEFT
BA 2551        //BOX DRAWINGS DOUBLE VERTICAL
BB 2557        //BOX DRAWINGS DOUBLE DOWN AND LEFT
BC 255D        //BOX DRAWINGS DOUBLE UP AND LEFT
BD 255C        //BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
BE 255B        //BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
BF 2510        //BOX DRAWINGS LIGHT DOWN AND LEFT
C0 2514        //BOX DRAWINGS LIGHT UP AND RIGHT
C1 2534        //BOX DRAWINGS LIGHT UP AND HORIZONTAL
C2 252C        //BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
C3 251C        //BOX DRAWINGS LIGHT VERTICAL AND RIGHT
C4 2500        //BOX DRAWINGS LIGHT HORIZONTAL
C5 253C        //BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
C6 255E        //BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
C7 255F        //BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
C8 255A        //BOX DRAWINGS DOUBLE UP AND RIGHT
C9 2554        //BOX DRAWINGS DOUBLE DOWN AND RIGHT
CA 2569        //BOX DRAWINGS DOUBLE UP AND HORIZONTAL
CB 2566        //BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
CC 2560        //BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
CD 2550        //BOX DRAWINGS DOUBLE HORIZONTAL
CE 256C        //BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
CF 2567        //BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
D0 2568        //BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
D1 2564        //BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
D2 2565        //BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
D3 2559        //BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
D4 2558        //BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
D5 2552        //BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
D6 2553        //BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
D7 256B        //BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
D8 256A        //BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
D9 2518        //BOX DRAWINGS LIGHT UP AND LEFT
DA 250C        //BOX DRAWINGS LIGHT DOWN AND RIGHT
DB 2588        //FULL BLOCK
DC 2584        //LOWER HALF BLOCK
DD 258C        //LEFT HALF BLOCK
DE 2590        //RIGHT HALF BLOCK
DF 2580        //UPPER HALF BLOCK
E0 3B1         //GREEK SMALL LETTER ALPHA
E1 DF          //LATIN SMALL LETTER SHARP S
E2 393         //GREEK CAPITAL LETTER GAMMA
E3 3C0         //GREEK SMALL LETTER PI
E4 3A3         //GREEK CAPITAL LETTER SIGMA
E5 3C3         //GREEK SMALL LETTER SIGMA
E6 B5          //MICRO SIGN
E7 3C4         //GREEK SMALL LETTER TAU
E8 3A6         //GREEK CAPITAL LETTER PHI
E9 398         //GREEK CAPITAL LETTER THETA
EA 3A9         //GREEK CAPITAL LETTER OMEGA
EB 3B4         //GREEK SMALL LETTER DELTA
EC 221E        //INFINITY
ED 3C6         //GREEK SMALL LETTER PHI
EE 3B5         //GREEK SMALL LETTER EPSILON
EF 2229        //INTERSECTION
F0 2261        //IDENTICAL TO
F1 B1          //PLUS-MINUS SIGN
F2 2265        //GREATER-THAN OR EQUAL TO
F3 2264        //LESS-THAN OR EQUAL TO
F4 2320        //TOP HALF INTEGRAL
F5 2321        //BOTTOM HALF INTEGRAL
F6 F7          //DIVISION SIGN
F7 2248        //ALMOST EQUAL TO
F8 B0          //DEGREE SIGN
F9 2219        //BULLET OPERATOR
FA B7          //MIDDLE DOT
