5C  A5 2
7E  203E 2
A0  20 2
A1  21 2
A2  63 2
A3  47 2
A5  4A 2
A6  7C 2
A9  28 2
AA  61 2
AB  3C 2
AC  21 2
AD  2D 2
AE  28 2
B1  2B 2
B2  32 2
B3  33 2
B4  27 2
B5  75 2
B7  2E 2
B8  2C 2
B9  31 2
BA  6F 2
BB  3E 2
BC  20 2
BD  20 2
BE  20 2
C0  41 2
C1  41 2
C2  41 2
C3  41 2
C4  41 2
C5  41 2
C6  41 2
C7  43 2
C8  45 2
C9  45 2
CA  45 2
CB  45 2
CC  49 2
CD  49 2
CE  49 2
CF  49 2
D0  44 2
D1  4E 2
D2  4F 2
D3  4F 2
D4  4F 2
D5  4F 2
D6  4F 2
D7  78 2
D8  4F 2
D9  55 2
DA  55 2
DB  55 2
DC  55 2
DD  59 2
DE  54 2
DF  73 2
E0  61 2
E1  61 2
E2  61 2
E3  61 2
E4  61 2
E5  61 2
E6  61 2
E7  63 2
E8  65 2
E9  65 2
EA  65 2
EB  65 2
EC  69 2
ED  69 2
EE  69 2
EF  69 2
F0  64 2
F1  6E 2
F2  6F 2
F3  6F 2
F4  6F 2
F5  6F 2
F6  6F 2
F7  2F 2
F8  6F 2
F9  75 2
FA  75 2
FB  75 2
FC  75 2
FD  79 2
FE  74 2
FF  79 2
100  41 2
101  61 2
102  41 2
103  61 2
104  41 2
105  61 2
106  43 2
107  63 2
108  43 2
109  63 2
10A  43 2
10B  63 2
10C  43 2
10D  63 2
10E  44 2
10F  64 2
110  44 2
111  64 2
112  45 2
113  65 2
114  45 2
115  65 2
116  45 2
117  65 2
118  45 2
119  65 2
11A  45 2
11B  65 2
11C  47 2
11D  67 2
11E  47 2
11F  67 2
120  47 2
121  67 2
122  47 2
123  67 2
124  48 2
125  68 2
126  48 2
127  68 2
128  49 2
129  69 2
12A  49 2
12B  69 2
12C  49 2
12D  69 2
12E  49 2
12F  69 2
130  49 2
131  69 2
132  49 2
133  69 2
134  4A 2
135  6A 2
136  4B 2
137  6B 2
138  71 2
139  4C 2
13A  6C 2
13B  4C 2
13C  6C 2
13D  4C 2
13E  6C 2
13F  4C 2
140  6C 2
141  4C 2
142  6C 2
143  4E 2
144  6E 2
145  4E 2
146  6E 2
147  4E 2
148  6E 2
149  27 2
14A  4E 2
14B  6E 2
14C  4F 2
14D  6F 2
14E  4F 2
14F  6F 2
150  4F 2
151  6F 2
152  4F 2
153  6F 2
154  52 2
155  72 2
156  52 2
157  72 2
158  52 2
159  72 2
15A  53 2
15B  73 2
15C  53 2
15D  73 2
15E  53 2
15F  73 2
160  53 2
161  73 2
162  54 2
163  74 2
164  54 2
165  74 2
166  54 2
167  74 2
168  55 2
169  75 2
16A  55 2
16B  75 2
16C  55 2
16D  75 2
16E  55 2
16F  75 2
170  55 2
171  75 2
172  55 2
173  75 2
174  57 2
175  77 2
176  59 2
177  79 2
178  59 2
179  5A 2
17A  7A 2
17B  5A 2
17C  7A 2
17D  5A 2
17E  7A 2
17F  73 2
180  62 2
181  42 2
182  42 2
183  62 2
187  43 2
188  63 2
189  44 2
18A  44 2
18B  44 2
18C  64 2
190  45 2
191  46 2
192  66 2
193  47 2
195  68 2
196  49 2
197  49 2
198  4B 2
199  6B 2
19A  6C 2
19D  4E 2
19E  6E 2
1A0  4F 2
1A1  6F 2
1A2  4F 2
1A3  6F 2
1A4  50 2
1A5  70 2
1AB  74 2
1AC  54 2
1AD  74 2
1AE  54 2
1AF  55 2
1B0  75 2
1B2  56 2
1B3  59 2
1B4  79 2
1B5  5A 2
1B6  7A 2
1C4  44 2
1C5  44 2
1C6  64 2
1C7  4C 2
1C8  4C 2
1C9  6C 2
1CA  4E 2
1CB  4E 2
1CC  6E 2
1CD  41 2
1CE  61 2
1CF  49 2
1D0  69 2
1D1  4F 2
1D2  6F 2
1D3  55 2
1D4  75 2
1D5  55 2
1D6  75 2
1D7  55 2
1D8  75 2
1D9  55 2
1DA  75 2
1DB  55 2
1DC  75 2
1DE  41 2
1DF  61 2
1E0  41 2
1E1  61 2
1E2  C6 3
1E3  E6 3
1E4  47 2
1E5  67 2
1E6  47 2
1E7  67 2
1E8  4B 2
1E9  6B 2
1EA  4F 2
1EB  6F 2
1EC  4F 2
1ED  6F 2
1F0  6A 2
1F1  44 2
1F2  44 2
1F3  64 2
1F4  47 2
1F5  67 2
1F8  4E 2
1F9  6E 2
1FA  41 2
1FB  61 2
1FC  C6 3
1FD  E6 3
1FE  D8 3
1FF  F8 3
200  41 2
201  61 2
202  41 2
203  61 2
204  45 2
205  65 2
206  45 2
207  65 2
208  49 2
209  69 2
20A  49 2
20B  69 2
20C  4F 2
20D  6F 2
20E  4F 2
20F  6F 2
210  52 2
211  72 2
212  52 2
213  72 2
214  55 2
215  75 2
216  55 2
217  75 2
218  53 2
219  73 2
21A  54 2
21B  74 2
21E  48 2
21F  68 2
221  64 2
224  5A 2
225  7A 2
226  41 2
227  61 2
228  45 2
229  65 2
22A  4F 2
22B  6F 2
22C  4F 2
22D  6F 2
22E  4F 2
22F  6F 2
230  4F 2
231  6F 2
232  59 2
233  79 2
234  6C 2
235  6E 2
236  74 2
237  6A 2
238  64 2
239  71 2
23A  41 2
23B  43 2
23C  63 2
23D  4C 2
23E  54 2
23F  73 2
240  7A 2
243  42 2
244  55 2
